Rank,Tier,Ticker,Company Name,Sub-Sector,Market Cap ($B),Composite Score,Moat Strength,Moat Trajectory,Financial Quality,Valuation,Key Thesis
1,Tier 1 - Elite Compounders,TT,Trane Technologies,Building Products & HVAC,90.8,95,Strong,Widening,Excellent,Full,"Building decarbonization + HVAC replacement cycle; 18% ROIC with expanding margins; spec'd-in on commercial projects"
2,Tier 1 - Elite Compounders,TDG,TransDigm Group,Aerospace & Defense,69.2,94,Very Strong,Widening,Excellent,Fair,"Proprietary sole-source aerospace aftermarket parts; 22% ROIC; 47% EBITDA margins; intentional leverage strategy funds acquisitions"
3,Tier 1 - Elite Compounders,SHW,Sherwin-Williams,Industrial Coatings,75.2,93,Very Strong,Widening,Excellent,Full,"Dominant paint/coatings distribution network; 22% ROIC; owned stores create switching costs; architectural + industrial mix"
4,Tier 1 - Elite Compounders,WM,Waste Management,Waste Management,93.3,92,Very Strong,Widening,Excellent,Full,"Physical landfill network moat; 14% ROIC with pricing power; recycling and renewable energy optionality"
5,Tier 1 - Elite Compounders,AME,AMETEK Inc.,Industrial Automation,47.9,92,Strong,Widening,Excellent,Full,"Disciplined serial acquirer of niche instrument businesses; 18% ROIC; 28% EBITDA margins; 110% FCF conversion"
6,Tier 1 - Elite Compounders,RSG,Republic Services,Waste Management,67.5,91,Very Strong,Widening,Excellent,Full,"#2 waste operator with density advantages; sustainability services expansion; strong pricing discipline"
7,Tier 1 - Elite Compounders,ODFL,Old Dominion Freight,Transportation & Logistics,38.0,91,Very Strong,Widening,Excellent,Full,"Best-in-class LTL carrier with 22% ROIC; 30% EBITDA margins; service premium commands pricing power"
8,Tier 1 - Elite Compounders,GWW,W.W. Grainger,Industrial Distribution,49.4,90,Strong,Stable,Excellent,Full,"Scale-driven MRO distribution; 28% ROIC; Zoro digital growth; margin expansion from endless aisle strategy"
9,Tier 1 - Elite Compounders,FERG,Ferguson Enterprises,Industrial Distribution,42.5,90,Strong,Stable,Excellent,Fair,"Dominant plumbing/HVAC distributor; 18% ROIC; trade-pro relationships create switching costs; bolt-on M&A discipline"
10,Tier 1 - Elite Compounders,ROP,Roper Technologies,Industrial Software,37.6,90,Strong,Widening,Excellent,Full,"Software-centric serial acquirer; 120% FCF conversion; asset-light model with recurring revenue; Danaher-like playbook"
11,Tier 2 - High Quality Compounders,HWM,Howmet Aerospace,Aerospace & Defense,90.3,89,Very Strong,Widening,Excellent,Premium,"Sole-source aerospace castings and fasteners; 16% ROIC; certification barriers; multi-year production ramp"
12,Tier 2 - High Quality Compounders,VRT,Vertiv Holdings,Electrical Equipment,97.9,88,Strong,Widening,Good,Premium,"Data center power/cooling infrastructure; 14% ROIC with rapid margin expansion; massive secular tailwind from AI buildout"
13,Tier 2 - High Quality Compounders,URI,United Rentals,Rental Equipment,44.8,88,Strong,Widening,Good,Attractive,"#1 equipment rental with scale advantages; 13% ROIC; infrastructure spending tailwind; 5% FCF yield at 16x P/E"
14,Tier 2 - High Quality Compounders,CSL,Carlisle Companies,Building Products,13.4,88,Strong,Widening,Excellent,Attractive,"Dominant commercial roofing (CCM); 20% ROIC; margin expansion from 80/20 simplification; 4.5% FCF yield"
15,Tier 2 - High Quality Compounders,EME,EMCOR Group,Engineering & Construction,32.3,87,Strong,Widening,Excellent,Attractive,"Mechanical/electrical contracting for data centers; 20% ROIC; zero net debt; 4.5% FCF yield"
16,Tier 2 - High Quality Compounders,WCN,Waste Connections,Waste Management,41.6,87,Strong,Widening,Good,Full,"Premium waste operator focused on exclusive markets; disciplined M&A; strong culture advantage"
17,Tier 2 - High Quality Compounders,HUBB,Hubbell Incorporated,Electrical Equipment,25.3,87,Strong,Widening,Excellent,Fair,"Utility and electrical products for grid modernization; 18% ROIC; regulatory-driven demand visibility"
18,Tier 2 - High Quality Compounders,ITT,ITT Inc.,Industrial Automation,15.7,87,Strong,Stable,Excellent,Attractive,"Underappreciated pump/connector/brake compounder; 15% ROIC; 3.8% FCF yield; low leverage"
19,Tier 2 - High Quality Compounders,FIX,Comfort Systems USA,Engineering & Construction,47.7,86,Strong,Widening,Good,Fair,"HVAC/mechanical contracting leader; data center buildout beneficiary; 18% ROIC with expanding margins"
20,Tier 2 - High Quality Compounders,ALLE,Allegion plc,Fire/Life Safety & Security,12.3,86,Strong,Stable,Excellent,Fair,"Access control and smart lock leader; 20% ROIC; electronic lock upgrade cycle; spec'd-in with architects"
21,Tier 2 - High Quality Compounders,CMI,Cummins Inc.,Power Management,73.7,86,Strong,Stable,Good,Fair,"Power generation diversification beyond truck engines; data center backup power demand; hydrogen optionality"
22,Tier 2 - High Quality Compounders,IR,Ingersoll Rand,Industrial Automation,31.9,86,Strong,Widening,Good,Fair,"Compressor and pump platform with M&A growth; 10% ROIC improving post-transformation; margin expansion story"
23,Tier 2 - High Quality Compounders,AIT,Applied Industrial Tech,Industrial Distribution,9.5,86,Strong,Widening,Excellent,Attractive,"Value-added industrial distribution; 16% ROIC; automation and fluid power expertise; 4.5% FCF yield"
24,Tier 2 - High Quality Compounders,STRL,Sterling Infrastructure,Engineering & Construction,12.3,85,Strong,Widening,Good,Attractive,"E-infrastructure and data center site work leader; 18% ROIC; strong pipeline visibility"
25,Tier 2 - High Quality Compounders,BLD,TopBuild Corp.,Building Products,9.4,85,Strong,Widening,Good,Attractive,"Insulation installation duopoly; 18% ROIC; code-driven demand; 5% FCF yield"
26,Tier 2 - High Quality Compounders,KEYS,Keysight Technologies,Test & Measurement,47.6,85,Strong,Stable,Good,Full,"Electronic design and test leader; 16% ROIC; 5G/AI/auto electrification test demand; 64% gross margins"
27,Tier 2 - High Quality Compounders,CARR,Carrier Global,Building Products & HVAC,48.5,84,Strong,Stable,Good,Fair,"HVAC and building solutions with Viessmann heat pump acquisition; decarbonization tailwind"
28,Tier 2 - High Quality Compounders,EMR,Emerson Electric,Industrial Automation,72.0,84,Strong,Stable,Good,Fair,"Process automation and industrial software (AspenTech); portfolio transformation underway"
29,Tier 2 - High Quality Compounders,TDY,Teledyne Technologies,Test & Measurement,28.5,84,Strong,Stable,Good,Fair,"Diversified instruments and imaging platform; disciplined serial acquirer; 11% ROIC"
30,Tier 2 - High Quality Compounders,DOV,Dover Corporation,Industrial Automation,28.2,84,Strong,Stable,Good,Fair,"Diversified industrial manufacturer; clean energy and pump businesses; 14% ROIC"
31,Tier 3 - Quality Compounders,PWR,Quanta Services,Engineering & Construction,83.1,83,Strong,Stable,Good,Fair,"Grid and infrastructure construction leader; 12% ROIC; multi-year grid investment cycle"
32,Tier 3 - Quality Compounders,GGG,Graco Inc.,Fluid Handling,13.9,83,Very Strong,Widening,Excellent,Premium-cut,"World-class fluid handling business (28% ROIC) cut from final for extreme valuation but retained on watchlist"
33,Tier 3 - Quality Compounders,VLTO,Veralto Corporation,Water/Pollution Treatment,22.0,83,Strong,Stable,Good,Full,"Danaher water quality spinoff; 15% ROIC; regulatory-driven demand; Danaher Business System DNA"
34,Tier 3 - Quality Compounders,TREX,Trex Company,Building Products,3.8,83,Strong,Widening,Excellent,Fair,"Composite decking leader; 28% ROIC; wood-to-composite secular shift; zero debt"
35,Tier 3 - Quality Compounders,FTV,Fortive Corporation,Test & Measurement,17.0,83,Strong,Widening,Good,Fair,"Danaher-playbook serial acquirer; test and measurement plus industrial tech; 100% FCF conversion"
36,Tier 3 - Quality Compounders,XYL,Xylem Inc.,Water Infrastructure,29.3,82,Strong,Widening,Good,Fair,"Water technology platform; smart water analytics; infrastructure spending tailwind"
37,Tier 3 - Quality Compounders,LII,Lennox International,Building Products & HVAC,16.3,82,Strong,Stable,Excellent,Fair,"Residential HVAC leader; 40% ROIC; replacement cycle driven demand; R-454B refrigerant transition"
38,Tier 3 - Quality Compounders,CW,Curtiss-Wright,Aerospace & Defense,26.1,82,Strong,Widening,Good,Fair,"Defense electronics and naval nuclear; 12% ROIC; long-cycle defense programs"
39,Tier 3 - Quality Compounders,NVT,nVent Electric,Electrical Equipment,18.8,82,Strong,Widening,Good,Fair,"Electrical connection and data center cooling; 13% ROIC; electrification tailwind"
40,Tier 3 - Quality Compounders,OTIS,Otis Worldwide,Specialty Industrial Machinery,30.9,82,Strong,Stable,Good,Full,"Elevator installed base drives service revenue; 35% ROIC; recurring maintenance streams"
41,Tier 3 - Quality Compounders,WSO,Watsco Inc.,Industrial Distribution,15.2,82,Strong,Widening,Excellent,Fair,"HVAC distribution leader; 20% ROIC; replacement-driven recurring demand; digital platform advantage"
42,Tier 3 - Quality Compounders,MSA,MSA Safety,Fire/Life Safety & Security,6.6,82,Strong,Stable,Excellent,Full,"Safety equipment leader (SCBA, gas detection); 15% ROIC; regulatory-mandated demand; 48% gross margins"
43,Tier 3 - Quality Compounders,NDSN,Nordson Corporation,Industrial Automation,14.7,81,Strong,Stable,Excellent,Full,"Precision dispensing equipment niche; 16% ROIC; 55% gross margins; consumables attach rate"
44,Tier 3 - Quality Compounders,IEX,IDEX Corporation,Fluid Handling,13.7,81,Strong,Stable,Excellent,Full,"Niche pump and flow technology; 16% ROIC; fire suppression and health/science segments"
45,Tier 3 - Quality Compounders,PPG,PPG Industries,Industrial Coatings,21.7,81,Strong,Stable,Good,Fair,"Global coatings leader; depressed valuation on auto/construction softness; recovery potential at 18x P/E"
46,Tier 3 - Quality Compounders,AVY,Avery Dennison,Specialty Packaging,12.4,81,Strong,Widening,Good,Fair,"Labeling and RFID technology leader; 18% ROIC; intelligent labels secular growth"
47,Tier 3 - Quality Compounders,GRMN,Garmin Ltd.,Test & Measurement,44.7,81,Strong,Stable,Excellent,Fair,"Diversified precision instruments; 22% ROIC; zero debt; fitness/aviation/marine/auto segments"
48,Tier 3 - Quality Compounders,BWXT,BWX Technologies,Aerospace & Defense,18.3,81,Strong,Widening,Good,Full,"Naval nuclear reactor monopoly; 18% ROIC; nuclear renaissance and AUKUS submarine deal"
49,Tier 3 - Quality Compounders,PKG,Packaging Corp of America,Specialty Packaging,18.1,80,Strong,Stable,Excellent,Fair,"Best-run containerboard producer; 16% ROIC; low leverage; disciplined capacity management"
50,Tier 3 - Quality Compounders,CLH,Clean Harbors,Waste Management,14.6,80,Strong,Widening,Good,Attractive,"Hazardous waste treatment leader; capacity scarcity; PFAS remediation tailwind; 12% ROIC"
51,Tier 4 - Solid Compounders,SUNB,Sunbelt Rentals,Rental Equipment,26.5,79,Strong,Widening,Good,Attractive,"#2 equipment rental; infrastructure cycle beneficiary; newly US-listed (NYSE March 2026)"
52,Tier 4 - Solid Compounders,GNRC,Generac Holdings,Power Management,11.7,79,Strong,Widening,Good,Fair,"Backup power and energy storage; grid instability driving demand; 15% ROIC"
53,Tier 4 - Solid Compounders,SAIA,Saia Inc.,Transportation & Logistics,10.5,79,Strong,Widening,Good,Fair,"LTL carrier with expanding terminal network; 14% ROIC; share gains from Yellow closure"
54,Tier 4 - Solid Compounders,WMS,Advanced Drainage Systems,Building Products,10.3,79,Strong,Widening,Good,Fair,"Stormwater management leader; 18% ROIC; infrastructure and environmental regulation tailwind"
55,Tier 4 - Solid Compounders,DY,Dycom Industries,Engineering & Construction,10.1,79,Strong,Widening,Good,Attractive,"Telecom and utility infrastructure contractor; 14% ROIC; fiber and grid modernization demand"
56,Tier 4 - Solid Compounders,WTS,Watts Water Technologies,Water Infrastructure,9.8,79,Strong,Stable,Excellent,Fair,"Water quality and flow control products; 15% ROIC; regulatory-driven safety requirements"
57,Tier 4 - Solid Compounders,SPXC,SPX Technologies,Building Products,9.3,79,Strong,Widening,Good,Fair,"HVAC and detection solutions; 14% ROIC; Weil-McLain boilers and Enterprise detection systems"
58,Tier 4 - Solid Compounders,AAON,AAON Inc.,Building Products & HVAC,6.5,79,Strong,Widening,Good,Fair,"Custom commercial HVAC manufacturer; 18% ROIC; data center cooling product expansion"
59,Tier 4 - Solid Compounders,AWI,Armstrong World Industries,Building Products,7.0,79,Strong,Stable,Good,Fair,"Ceiling systems with pricing power; 18% ROIC; office and healthcare end markets"
60,Tier 4 - Solid Compounders,POWL,Powell Industries,Electrical Equipment,6.3,78,Strong,Widening,Good,Attractive,"Switchgear and power control rooms; 22% ROIC; data center and grid demand surge; 5% FCF yield"
61,Tier 4 - Solid Compounders,RPM,RPM International,Specialty Chemicals,14.5,78,Strong,Stable,Good,Fair,"Specialty coatings and sealants; 14% ROIC; MAP 2025 margin improvement program bearing fruit"
62,Tier 4 - Solid Compounders,PNR,Pentair plc,Water Infrastructure,14.1,78,Strong,Stable,Good,Fair,"Water filtration and treatment; 14% ROIC; pool and residential water quality"
63,Tier 4 - Solid Compounders,JCI,Johnson Controls,Building Products & HVAC,79.4,78,Strong,Stable,Good,Fair,"Building automation and HVAC; 10% ROIC improving; portfolio simplification underway"
64,Tier 4 - Solid Compounders,BALL,Ball Corporation,Specialty Packaging,15.2,77,Strong,Stable,Good,Fair,"Aluminum can duopoly; 10% ROIC; sustainability tailwind for aluminum vs. plastic"
65,Tier 4 - Solid Compounders,TXT,Textron Inc.,Aerospace & Defense,14.7,77,Strong,Stable,Good,Attractive,"Aviation (Cessna/Bell) and defense; 10% ROIC; FLRAA contract upside; 5.5% FCF yield"
66,Tier 4 - Solid Compounders,TRMB,Trimble Inc.,Test & Measurement,15.4,77,Strong,Widening,Good,Fair,"Construction and agriculture technology platform; 11% ROIC; digital workflow transformation"
67,Tier 4 - Solid Compounders,WWD,Woodward Inc.,Aerospace & Defense,22.3,77,Strong,Widening,Good,Fair,"Aerospace and energy controls; 12% ROIC; engine content growth on new programs"
68,Tier 4 - Solid Compounders,ESE,ESCO Technologies,Test & Measurement,6.8,77,Strong,Stable,Good,Fair,"Niche test and utility solutions; 10% ROIC; defense/aerospace and utility end markets"
69,Tier 4 - Solid Compounders,CNM,Core & Main,Industrial Distribution,9.0,77,Strong,Widening,Good,Fair,"Water and sewer infrastructure distribution; 14% ROIC; municipal infrastructure spending"
70,Tier 4 - Solid Compounders,BLDR,Builders FirstSource,Building Products,9.0,76,Strong,Stable,Good,Attractive,"Value-added building products; 15% ROIC; digital and manufactured components growth"
71,Tier 4 - Solid Compounders,ZWS,Zurn Elkay Water Solutions,Water Infrastructure,7.3,76,Strong,Stable,Good,Fair,"Water safety and drinking water solutions; 10% ROIC; Elkay merger synergies"
72,Tier 4 - Solid Compounders,AYI,Acuity Brands,Electrical Equipment,8.2,76,Strong,Stable,Good,Fair,"Intelligent lighting and building management; 18% ROIC; Intelligent Spaces Group growth"
73,Tier 4 - Solid Compounders,AEIS,Advanced Energy Industries,Electrical Equipment,12.0,76,Strong,Stable,Good,Fair,"Precision power conversion; 12% ROIC; semiconductor and industrial applications"
74,Tier 4 - Solid Compounders,OC,Owens Corning,Building Products,8.0,76,Strong,Stable,Good,Attractive,"Roofing and insulation; 14% ROIC; Masonite door acquisition; 6% FCF yield at trough"
75,Tier 4 - Solid Compounders,POOL,Pool Corporation,Industrial Distribution,7.4,76,Strong,Stable,Excellent,Full,"Pool supply monopoly distributor; 32% ROIC; replacement/maintenance-driven demand"
76,Tier 5 - Watchlist Quality,TTEK,Tetra Tech,Engineering & Construction,7.9,75,Strong,Stable,Good,Fair,"Water and environmental engineering; 14% ROIC; government and commercial infrastructure"
77,Tier 5 - Watchlist Quality,APD,Air Products,Industrial Gases,62.6,75,Strong,Stable,Good-flagged,Fair,"Industrial gases duopoly; green hydrogen mega-capex cycle temporarily depresses returns"
78,Tier 5 - Watchlist Quality,FSS,Federal Signal Corp.,Pollution Treatment,6.4,75,Strong,Stable,Good,Fair,"Environmental and safety vehicles; 12% ROIC; municipal fleet replacement cycle"
79,Tier 5 - Watchlist Quality,HXL,Hexcel Corporation,Aerospace & Defense,6.2,75,Strong,Stable,Good,Fair,"Aerospace composite materials; 10% ROIC; widebody production recovery"
80,Tier 5 - Watchlist Quality,OSK,Oshkosh Corporation,Farm & Construction Equipment,8.8,74,Strong,Stable,Good,Attractive,"Defense vehicles and access equipment; 12% ROIC; USPS Next Gen delivery vehicle contract"
81,Tier 5 - Watchlist Quality,ENS,EnerSys,Electrical Equipment,6.1,74,Strong,Stable,Good,Attractive,"Industrial batteries and energy storage; 11% ROIC; data center UPS and 5G backup demand"
82,Tier 5 - Watchlist Quality,MOG.A,Moog Inc.,Aerospace & Defense,5.8,74,Strong,Stable,Good,Fair,"Precision motion control for defense and space; 11% ROIC; long-cycle programs"
83,Tier 5 - Watchlist Quality,VNT,Vontier Corporation,Test & Measurement,5.0,74,Strong,Stable,Good,Attractive,"Fueling and mobility tech; 15% ROIC; EV charging pivot; 5.5% FCF yield"
84,Tier 5 - Watchlist Quality,LPX,Louisiana-Pacific Corp.,Building Products,4.9,73,Strong,Stable,Good,Attractive,"Siding and OSB manufacturer; 18% ROIC at mid-cycle; 6.5% FCF yield; housing cycle leverage"
85,Tier 5 - Watchlist Quality,MATX,Matson Inc.,Transportation & Logistics,3.8,73,Strong,Stable,Good,Attractive,"Hawaii/Alaska container shipping near-monopoly; 18% ROIC; 8% FCF yield; China logistics"
86,Tier 5 - Watchlist Quality,SLGN,Silgan Holdings,Specialty Packaging,4.0,73,Strong,Stable,Good,Fair,"Metal/plastic containers and closures; 12% ROIC; consumer staples packaging demand"
87,Tier 5 - Watchlist Quality,HRI,Herc Holdings,Rental Equipment,3.4,72,Strong,Stable,Good,Attractive,"#3 equipment rental; 10% ROIC; infrastructure cycle beneficiary; 7% FCF yield"
88,Tier 5 - Watchlist Quality,BRC,Brady Corporation,Fire/Life Safety & Security,3.8,72,Strong,Stable,Good,Fair,"Identification and safety labels; 16% ROIC; workplace safety regulatory requirements"
89,Tier 5 - Watchlist Quality,SITE,SiteOne Landscape Supply,Industrial Distribution,5.7,72,Strong,Widening,Good,Fair,"Landscape supply distribution consolidator; 10% ROIC; fragmented market rollup"
90,Tier 5 - Watchlist Quality,EXPO,Exponent Inc.,Engineering & Construction,3.3,72,Strong,Stable,Excellent,Full,"Specialized failure analysis and consulting; 30% ROIC; high margins but stretched valuation"
91,Tier 5 - Watchlist Quality,ABM,ABM Industries,Facility Services,3.0,71,Strong,Stable,Good,Attractive,"Facility services at value; 12% ROIC; essential services with recurring revenue"
92,Tier 5 - Watchlist Quality,MGRC,McGrath RentCorp,Rental Equipment,2.6,71,Strong,Stable,Good,Attractive,"Modular buildings and test equipment rental; 12% ROIC; education and infrastructure demand"
93,Tier 5 - Watchlist Quality,HWKN,Hawkins Inc.,Specialty Chemicals,2.5,71,Strong,Stable,Good,Attractive,"Water treatment chemicals distribution; 14% ROIC; municipal water infrastructure"
94,Tier 5 - Watchlist Quality,IOSP,Innospec Inc.,Specialty Chemicals,2.3,70,Strong,Stable,Good,Fair,"Specialty chemicals (fuel additives and personal care); 14% ROIC; niche positions"
95,Tier 5 - Watchlist Quality,DXPE,DXP Enterprises,Industrial Distribution,2.0,70,Strong,Stable,Good,Attractive,"Industrial distribution acquirer; 10% ROIC; pumps and MRO with value-added services"
